Rank,District,Grades,# Elementary Schools,# Middle Schools,# High Schools,# Alt. Schools,City,County,Rank score (2022),Rank (2021),Rank change from 2021,SchoolDigger Rating (2022)
"1
",Cheyenne Mountain School District No. 12,"PK, KG-12",7,2,2,1,Colorado Springs,El Paso County,0.889,1,,
"2
",Ridgway School District No. R-2,"PK, KG-12",1,1,1,0,Ridgway,Ouray County,0.811,6,4,
"3
",Swink School District No. 33,K-12,1,0,1,0,Swink,Otero County,0.808,2,1,
"4
",Lewis-Palmer Consolidated School District No. 38,"PK, KG-12",6,2,2,0,Monument,El Paso County,0.801,3,1,
"5
",Boulder Valley School District No. Re2,"PK, KG-12",35,9,10,2,Boulder,Boulder County,0.782,5,,
"6
",Douglas County School District No. Re 1,"PK, KG-12",63,10,14,3,Castle Rock,Douglas County,0.777,9,3,
"7
",McClave School District No. Re-2,"PK, KG-12",1,0,1,0,Mc Clave,Bent County,0.771,15,8,
"8
",Academy School District No. 20,"PK, KG-12",23,7,9,1,Colorado Springs,El Paso County,0.771,7,1,
"9
",Telluride School District No. R-1,"PK, KG-12",2,1,1,0,Telluride,San Miguel County,0.749,11,2,
"10
",Meeker School District Re1,"PK, KG-12",1,1,1,0,Meeker,Rio Blanco County,0.748,14,4,
"11
",Littleton School District No. 6,"PK, KG-12",17,4,3,0,Littleton,Arapahoe County,0.742,4,7,
"12
",Poudre School District R-1,"PK, KG-12",31,9,7,4,Fort Collins,Larimer County,0.73,10,2,
"13
",Gunnison Watershed School District Re1J,"PK, KG-12",3,1,2,1,Gunnison,Gunnison County,0.711,20,7,
"14
",Weld County Reorganized School District No. Re-4,"PK, KG-12",6,3,2,2,Windsor,Weld County,0.69,16,2,
"15
",Big Sandy School District No. 100J,"PK, KG-12",1,1,1,0,Simla,Elbert County,0.687,,(n/a),
"16
",Gilpin County School District No. Re-1,"PK, KG-12",1,0,1,0,Golden,Gilpin County,0.662,8,8,
"17
",Limon School District No. Re 4J,"PK, KG-12",1,0,1,0,Limon,Lincoln County,0.662,13,4,
"18
",Springfield School District No. Re-4,"PK, KG-12",1,0,1,0,Springfield,Baca County,0.649,78,60,
"19
",South Routt School District No. Re 3,"PK, KG-12",2,1,1,0,Oak Creek,Routt County,0.649,21,2,
"20
",Manitou Springs School District No. 14,"PK, KG-12",2,1,1,0,Manitou Springs,El Paso County,0.624,26,6,
"21
",North Conejos School District No. Re1J,"PK, KG-12",2,1,1,1,La Jara,Conejos County,0.619,,(n/a),
"22
",Wiley School District No. Re-13 Jt,"PK, KG-12",1,0,1,0,Wiley,Prowers County,0.611,19,3,
"23
",School District No. Re-3 Frenchman,"PK, KG-12",1,0,1,0,Fleming,Logan County,0.603,,(n/a),
"24
",Platte Canyon School District No. 1,"PK, KG-12",1,1,1,0,Bailey,Park County,0.599,12,12,
"25
",Cherry Creek School District No. 5,"PK, KG-12",48,12,9,1,Greenwood Village,Arapahoe County,0.596,18,7,
"26
",East Grand School District No. 2,"PK, KG-12",2,1,1,0,Granby,Grand County,0.591,17,9,
"27
",Plateau Valley School District No. 50,"PK, KG-12",1,1,2,0,Collbran,Mesa County,0.591,,(n/a),
"28
",Jefferson County School District No. R-1,"PK, KG-12",107,20,29,9,Golden,Jefferson County,0.578,22,6,
"29
",St. Vrain Valley School District No. Re1J,"PK, KG-12",33,8,10,2,Longmont,Boulder County,0.568,24,5,
"30
",Sangre de Cristo School District No. Re-22J,"PK, KG-12",1,0,1,0,Mosca,Alamosa County,0.564,,(n/a),
"31
",Haxtun School District No. Re-2J,"PK, KG-12",1,0,1,0,Haxtun,Phillips County,0.555,,(n/a),
"32
",School District No. Re-4 Buffalo,"PK, KG-12",1,0,1,0,Merino,Logan County,0.548,,(n/a),
"33
",Weld County School District No. Re-7,"PK, KG-12",1,1,1,0,Kersey,Weld County,0.539,42,9,
"34
",State Charter School Institute,"PK, KG-12",22,3,10,8,Denver,Denver County,0.53,29,5,
"35
",Elizabeth School District,"PK, KG-12",5,1,1,0,Elizabeth,Elbert County,0.527,25,10,
"36
",Delta County Joint District No. 50,"PK, KG-12",8,3,5,1,Delta,Delta County,0.519,27,9,
"37
",El Paso County Colorado School District 49,"PK, KG-12",16,3,7,5,Peyton,El Paso County,0.518,40,3,
"38
",Durango School District No. 9-R,"PK, KG-12",8,2,3,2,Durango,La Plata County,0.517,36,2,
"39
",Wray Rd-2 School District,"PK, KG-12",1,0,1,0,Wray,Yuma County,0.499,50,11,
"40
",Thompson School District R-2j,"PK, KG-12",21,5,5,2,Loveland,Larimer County,0.494,33,7,
"41
",Woodland Park School District No. Re-2,"PK, KG-12",3,1,1,0,Woodland Park,Teller County,0.494,41,,
"42
",Summit School District No. Re 1,"PK, KG-12",6,1,2,0,Frisco,Summit County,0.491,,(n/a),
"43
",Sanford School District No. 6,"PK, KG-12",1,0,1,0,Sanford,Conejos County,0.488,31,12,
"44
",Eagle County School District No. Re 50,"PK, KG-12",10,3,6,1,Eagle,Eagle County,0.483,43,1,
"45
",Akron School District No. R-1,"PK, KG-12",1,0,1,0,Akron,Washington County,0.478,37,8,
"46
",Adams 12 Five Star Schools,"PK, KG-12",35,7,7,4,Thornton,Adams County,0.478,34,12,
"47
",Clear Creek School District No. Re-1,"PK, KG-12",3,1,1,0,Idaho Springs,Clear Creek County,0.476,,(n/a),
"48
",Calhan District No. RJ1,"PK, KG-12",1,0,1,0,Calhan,El Paso County,0.469,35,13,
"49
",Mesa County Valley School District No. 51,"PK, KG-12",29,8,6,4,Grand Junction,Mesa County,0.462,45,4,
"50
",School District No. C-2,"PK, KG-12",1,1,1,0,Kiowa,Elbert County,0.462,,(n/a),
"51
",Pueblo County School District 70,"PK, KG-12",14,7,4,1,Pueblo,Pueblo County,0.461,49,2,
"52
",Fowler School District No. R4J,"PK, KG-12",1,1,1,0,Fowler,Otero County,0.46,46,6,
"53
",Montrose County School District Re-1J,"PK, KG-12",7,3,3,1,Montrose,Montrose County,0.447,58,5,
"54
",School District No. 3,"PK, KG-12",11,3,3,0,Colorado Springs,El Paso County,0.447,55,1,
"55
",Fremont Re-1,"PK, KG-12",6,1,1,0,Canon City,Fremont County,0.446,30,25,
"56
",Weld re-8 schools,"PK, KG-12",4,1,1,0,Fort Lupton,Weld County,0.407,65,9,
"57
",Hayden School District No. Re 1,"PK, KG-12",1,1,1,0,Hayden,Routt County,0.405,,(n/a),
"58
",School District No. Re-50 Wiggins,"PK, KG-12",1,1,1,0,Wiggins,Morgan County,0.404,44,14,
"59
",Lamar School District No. Re-2,"PK, KG-12",4,1,1,0,Lamar,Prowers County,0.4,62,3,
"60
",Walsh School District No. Re-1,"PK, KG-12",1,0,1,0,Walsh,Baca County,0.395,,(n/a),
"61
",Roaring Fork School District No. Re-1,"PK, KG-12",6,3,4,0,Glenwood Springs,Garfield County,0.393,38,23,
"62
",School District No. 1,"PK, KG-12",114,33,56,2,Denver,Denver County,0.392,28,34,
"63
",Montezuma-Cortez School District No. Re-1,"PK, KG-12",8,1,2,0,Cortez,Montezuma County,0.39,,(n/a),
"64
",Deer Trail School District No. 26J,"PK, KG-12",1,0,1,0,Deer Trail,Arapahoe County,0.388,,(n/a),
"65
",Colorado Springs School District No. 11,"PK, KG-12",36,9,11,0,Colorado Springs,El Paso County,0.387,47,18,
"66
",Englewood School District No. 1,"PK, KG-12",5,2,2,0,Englewood,Arapahoe County,0.382,,(n/a),
"67
",Custer County School District Consolidate 1,"PK, KG-12",1,1,1,0,Westcliffe,Custer County,0.381,54,13,
"68
",School District 27J,"PK, KG-12",17,5,5,1,Brighton,Adams County,0.381,60,8,
"69
",Estes Park School District R-3,"PK, KG-12",1,1,1,1,Estes Park,Larimer County,0.372,51,18,
"70
",Weld County School District Re-3j,"PK, KG-12",5,1,1,0,Hudson,Weld County,0.371,63,7,
