zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
80001,PO BOX,0,Arvada,,,CO,Jefferson County,America/Denver,303,NA,US,39.82,-105.1,819
80002,STANDARD,0,Arvada,,,CO,Jefferson County,America/Denver,303720,NA,US,39.79,-105.11,17430
80003,STANDARD,0,Arvada,Westminster,,CO,Jefferson County,America/Denver,303,NA,US,39.83,-105.06,31840
80004,STANDARD,0,Arvada,,,CO,Jefferson County,America/Denver,303,NA,US,39.82,-105.1,32850
80005,STANDARD,0,Arvada,Westminster,,CO,Jefferson County,America/Denver,303,NA,US,39.85,-105.13,27560
80006,PO BOX,0,Arvada,,,CO,Jefferson County,America/Denver,303,NA,US,39.82,-105.1,741
80007,STANDARD,0,Arvada,,,CO,Jefferson County,America/Denver,303,NA,US,39.86,-105.19,17930
80010,STANDARD,0,Aurora,,,CO,Arapahoe County,America/Denver,303720,NA,US,39.74,-104.86,33890
80011,STANDARD,0,Aurora,"Buckley AFB, Buckley Air Force Base","Buckley Air Natl Guard Base, Buckley Ang",CO,Arapahoe County,America/Denver,303720,NA,US,39.74,-104.78,47370
80012,STANDARD,0,Aurora,Denver,,CO,Arapahoe County,America/Denver,303720,NA,US,39.69,-104.81,43740
80013,STANDARD,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.66,-104.77,69860
80014,STANDARD,0,Aurora,Denver,,CO,Arapahoe County,America/Denver,720303,NA,US,39.66,-104.84,35830
80015,STANDARD,0,Aurora,Centennial,,CO,Arapahoe County,America/Denver,720,NA,US,39.63,-104.78,67360
80016,STANDARD,0,Aurora,"Centennial, Foxfield",,CO,Arapahoe County,America/Denver,720,NA,US,39.6,-104.71,63540
80017,STANDARD,0,Aurora,,,CO,Arapahoe County,America/Denver,720,NA,US,39.7,-104.79,33590
80018,STANDARD,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.69,16100
80019,STANDARD,0,Aurora,,,CO,Adams County,America/Denver,303,NA,US,39.79,-104.7,3960
80020,STANDARD,0,Broomfield,Westminster,,CO,Broomfield County,America/Denver,303,NA,US,39.94,-105.06,48030
80021,STANDARD,0,Broomfield,Westminster,,CO,Jefferson County,America/Denver,303,NA,US,39.89,-105.11,31960
80022,STANDARD,0,Commerce City,Denver,Irondale,CO,Adams County,America/Denver,303,NA,US,39.88,-104.8,52760
80023,STANDARD,0,Broomfield,"Thornton, Westminster",,CO,Broomfield County,America/Denver,303,NA,US,39.96,-105.02,25190
80024,PO BOX,0,Dupont,,,CO,Adams County,America/Denver,303,NA,US,39.84,-104.92,425
80025,PO BOX,0,Eldorado Springs,Eldorado Sprg,,CO,Boulder County,America/Denver,303,NA,US,39.94,-105.28,210
80026,STANDARD,0,Lafayette,,,CO,Boulder County,America/Denver,303,NA,US,39.99,-105.09,29840
80027,STANDARD,0,Louisville,Superior,,CO,Boulder County,America/Denver,303,NA,US,39.96,-105.14,32510
80028,UNIQUE,1,Louisville,,Storage Technology Corp,CO,Boulder County,America/Denver,303,NA,US,39.95,-105.14,0
80030,STANDARD,0,Westminster,,,CO,Adams County,America/Denver,303,NA,US,39.83,-105.04,13330
80031,STANDARD,0,Westminster,,,CO,Adams County,America/Denver,303,NA,US,39.88,-105.05,33850
80033,STANDARD,0,Wheat Ridge,Denver,,CO,Jefferson County,America/Denver,303,NA,US,39.77,-105.09,22240
80034,PO BOX,0,Wheat Ridge,,,CO,Jefferson County,America/Denver,303,NA,US,39.77,-105.09,543
80035,PO BOX,0,Westminster,,,CO,Jefferson County,America/Denver,303,NA,US,39.88,-105.05,603
80036,PO BOX,0,Westminster,,,CO,Jefferson County,America/Denver,303,NA,US,39.88,-105.05,346
80037,PO BOX,0,Commerce City,,,CO,Adams County,America/Denver,303,NA,US,39.86,-104.86,638
80038,PO BOX,0,Broomfield,,,CO,Broomfield County,America/Denver,303,NA,US,39.94,-105.06,636
80040,PO BOX,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.81,517
80041,PO BOX,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.81,569
80042,PO BOX,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.81,479
80044,PO BOX,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.81,692
80045,STANDARD,0,Aurora,,,CO,Adams County,America/Denver,720,NA,US,39.75,-104.84,500
80046,PO BOX,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.81,706
80047,PO BOX,0,Aurora,,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.81,1458
80101,STANDARD,0,Agate,,,CO,Elbert County,America/Denver,719,NA,US,39.47,-103.95,360
80102,STANDARD,0,Bennett,,,CO,Adams County,America/Denver,303,NA,US,39.75,-104.42,6320
80103,STANDARD,0,Byers,,,CO,Arapahoe County,America/Denver,303,NA,US,39.71,-104.22,2640
80104,STANDARD,0,Castle Rock,,,CO,Douglas County,America/Denver,303,NA,US,39.37,-104.85,33990
80105,STANDARD,0,Deer Trail,,,CO,Arapahoe County,America/Denver,719303720,NA,US,39.61,-104.04,1610
80106,STANDARD,0,Elbert,,Black Forest,CO,El Paso County,America/Denver,719,NA,US,39.22,-104.53,4510
80107,STANDARD,0,Elizabeth,,,CO,Elbert County,America/Denver,719,NA,US,39.36,-104.6,13790
80108,STANDARD,0,Castle Rock,Castle Pines,,CO,Douglas County,America/Denver,303,NA,US,39.45,-104.85,31980
80109,STANDARD,0,Castle Rock,,,CO,Douglas County,America/Denver,303,NA,US,39.36,-104.9,26140
80110,STANDARD,0,Englewood,"Cherry Hills, Cherry Hills Village, Cherry Hl Vlg, Greenwood Village, Greenwood Vlg, Sheridan",,CO,Arapahoe County,America/Denver,303,NA,US,39.64,-104.99,19830
80111,STANDARD,0,Englewood,"Centennial, Cherry Hills, Cherry Hills Village, Cherry Hl Vlg, Greenwood Village, Greenwood Vlg",,CO,Arapahoe County,America/Denver,303,NA,US,39.61,-104.88,31320
80112,STANDARD,0,Englewood,"Centennial, Greenwood Village, Greenwood Vlg",Lone Tree,CO,Arapahoe County,America/Denver,303720,NA,US,39.58,-104.86,33180
80113,STANDARD,0,Englewood,"Cherry Hills, Cherry Hills Village, Cherry Hl Vlg",,CO,Arapahoe County,America/Denver,303,NA,US,39.64,-104.96,18920
80116,STANDARD,0,Franktown,,,CO,Douglas County,America/Denver,303,NA,US,39.38,-104.75,4800
80117,STANDARD,0,Kiowa,,,CO,Elbert County,America/Denver,719,NA,US,39.34,-104.46,2750
80118,STANDARD,0,Larkspur,,,CO,Douglas County,America/Denver,303,NA,US,39.18,-104.89,5950
80120,STANDARD,0,Littleton,,,CO,Arapahoe County,America/Denver,303,NA,US,39.59,-105.01,25700
80121,STANDARD,0,Littleton,"Centennial, Cherry Hills Village, Cherry Hl Vlg, Greenwood Village, Greenwood Vlg","Cherry Hills, Grants Ranch",CO,Arapahoe County,America/Denver,303,NA,US,39.61,-104.95,17270
80122,STANDARD,0,Littleton,Centennial,,CO,Arapahoe County,America/Denver,303720,NA,US,39.58,-104.95,30790
80123,STANDARD,0,Littleton,"Bow Mar, Columbine Valley, Columbine Vly, Denver, Lakewood",Grants Ranch,CO,Jefferson County,America/Denver,303720,NA,US,39.62,-105.07,42770
80124,STANDARD,0,Lone Tree,Littleton,Lonetree,CO,Douglas County,America/Denver,303720,NA,US,39.53,-104.89,21110
80125,STANDARD,0,Littleton,Roxborough,,CO,Douglas County,America/Denver,303,NA,US,39.49,-105.05,12740
80126,STANDARD,0,Littleton,"Hghlnds Ranch, Highlands Ranch",,CO,Douglas County,America/Denver,303720,NA,US,39.54,-104.96,43390
80127,STANDARD,0,Littleton,Denver,,CO,Jefferson County,America/Denver,303720,NA,US,39.57,-105.14,43830
80128,STANDARD,0,Littleton,,,CO,Jefferson County,America/Denver,303,NA,US,39.56,-105.08,34730
80129,STANDARD,0,Littleton,"Hghlnds Ranch, Highlands Ranch",,CO,Douglas County,America/Denver,303720,NA,US,39.54,-105,29300
80130,STANDARD,0,Littleton,"Hghlnds Ranch, Highlands Ranch",,CO,Douglas County,America/Denver,303720,NA,US,39.54,-104.93,26750
80131,PO BOX,0,Louviers,,,CO,Douglas County,America/Denver,303,NA,US,39.48,-105.01,227
80132,STANDARD,0,Monument,,Woodmoor,CO,El Paso County,America/Denver,719,NA,US,39.1,-104.85,28030
80133,STANDARD,0,Palmer Lake,,,CO,El Paso County,America/Denver,719,NA,US,39.1,-104.98,2550
80134,STANDARD,0,Parker,Lone Tree,,CO,Douglas County,America/Denver,303,NA,US,39.5,-104.76,75100
80135,STANDARD,0,Sedalia,Deckers,,CO,Douglas County,America/Denver,303720,NA,US,39.43,-104.97,3880
80136,STANDARD,0,Strasburg,,,CO,Adams County,America/Denver,303,NA,US,39.73,-104.3,5830
80137,STANDARD,0,Watkins,,,CO,Arapahoe County,America/Denver,303,NA,US,39.75,-104.6,1230
80138,STANDARD,0,Parker,,,CO,Douglas County,America/Denver,303,NA,US,39.52,-104.67,32860
80150,PO BOX,0,Englewood,,,CO,Arapahoe County,America/Denver,303,NA,US,39.64,-104.99,468
80151,PO BOX,0,Englewood,,,CO,Arapahoe County,America/Denver,303,NA,US,39.64,-104.99,395
80155,PO BOX,0,Englewood,"Greenwood Village, Greenwood Vlg",,CO,Arapahoe County,America/Denver,303,NA,US,39.64,-104.99,655
80160,PO BOX,0,Littleton,,,CO,Arapahoe County,America/Denver,303,NA,US,39.59,-105.01,457
80161,PO BOX,0,Littleton,Centennial,,CO,Arapahoe County,America/Denver,303,NA,US,39.59,-105.01,403
80162,PO BOX,0,Littleton,,,CO,Arapahoe County,America/Denver,303,NA,US,39.59,-105.01,502
80163,PO BOX,0,Littleton,"Hghlnds Ranch, Highlands Ranch",,CO,Arapahoe County,America/Denver,303,NA,US,39.59,-105.01,549
80165,UNIQUE,0,Littleton,,Littleton City Offices,CO,Arapahoe County,America/Denver,303,NA,US,39.59,-105.01,0
80166,UNIQUE,0,Littleton,,Arapahoe County Offices,CO,Arapahoe County,America/Denver,303,NA,US,39.59,-105.01,0
80201,PO BOX,0,Denver,,,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,1331
80202,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.75,-105,13740
